time,yRef,xRef
7.4,8.623286866,26.59016904
7.454279129,8.459184573,26.20211724
7.496475709,8.32644191,25.9017902
7.538672289,8.153398828,25.61194304
7.582276186,7.974584508,25.31242905
7.6,7.901901284,25.19068465
7.643101193,7.725148491,24.89462372
7.693982431,7.516490674,24.54512188
7.71614023,7.425624214,24.39292056
7.71614023,7.425624214,24.39292056
7.733527178,7.354322438,24.27349008
7.750914126,7.283020663,24.15405961
7.773920287,7.188675172,23.99603091
7.8,7.081725416,23.81689007
7.840543399,6.91546183,23.53839856
7.89186031,6.705017368,23.18590409
7.925456162,6.567244835,22.9551351
7.946020803,6.483700087,22.81407248
7.959348841,6.463904274,22.73116055
7.972676879,6.444108461,22.64824861
7.989838052,6.418619386,22.54149127
8,6.403526089,22.47827515
8.011724284,6.386112294,22.40533996
8.011724284,6.386112294,22.40533996
8.027601821,6.362529771,22.30656793
8.040977799,6.342662754,22.22335778
8.058433979,6.316735512,22.11476523
8.079568125,6.285345475,21.98329255
8.106878487,6.244782054,21.81339846
8.143552478,6.19031106,21.58525449
8.184867356,6.183689914,21.34428222
8.2,6.229522179,21.27016141
8.23624389,6.339294109,21.09263615
8.276024694,6.459778296,20.89778682
8.313838534,6.574305138,20.71257183
8.347508091,6.676280181,20.54765584
8.373889542,6.756181727,20.41843754
8.373889542,6.756181727,20.41843754
8.386596231,6.794666498,20.35619923
8.4,6.836148425,20.29092884
8.412954437,6.923302568,20.24815367
8.425908875,7.010456711,20.2053785
8.442453766,7.12176651,20.15074776
8.462556553,7.257012925,20.08436895
8.488446557,7.431194258,19.99888092
8.522980609,7.663530528,19.8848505
8.568713183,7.971207598,19.73384289
8.6,8.181697308,19.63053474
8.609848949,8.247958523,19.5980138
8.619697899,8.314219737,19.56549285
8.632225275,8.403229101,19.52945578
8.646820305,8.514096729,19.49554674
8.667146336,8.668498521,19.44832272
8.692243154,8.859140446,19.3900146
8.726190932,9.117016551,19.3111428
8.773136515,9.47362735,19.20207285
8.8,9.677689331,19.13966019
8.810256731,9.755602113,19.11583044
