yRef,xRef
14.59881169,14.11802066
14.63373557,13.82897681
14.61876984,13.55839294
14.60524848,13.31392375
14.59336384,13.09904669
14.57746412,12.81157608
14.55798967,12.45947359
14.54517219,12.22773063
14.5217129,11.99708456
14.43471066,11.78552765
14.29544271,11.44688005
14.18247558,11.17218625
14.06950846,10.89749244
13.95589104,10.62121736
13.91004399,10.50973446
13.79854213,10.23860364
13.60390952,9.941223889
13.56533748,9.893871815
13.56533748,9.893871815
13.4927778,9.804795582
13.42021812,9.715719349
13.31700871,9.589016681
13.18884809,9.431683231
13.10552401,9.329392334
13.05617689,9.268812474
13.00682977,9.208232613
12.94953502,9.137896024
12.88203315,9.055028899
12.80051219,8.954951558
12.69903432,8.830374574
12.56777023,8.669231224
12.39148282,8.452816016
12.30006549,8.370104104
12.20092935,8.29407086
12.12568264,8.236359806
12.05491791,8.182086239
11.98415318,8.127812671
11.88887376,8.054737372
11.77621979,7.968336528
11.63312079,7.858585621
11.44546789,7.714663757
11.19135076,7.51976662
10.93659316,7.324378281
10.86992357,7.273245515
10.80325399,7.22211275
10.7082085,7.149216865
10.59740875,7.064238124
10.4336503,6.977558536
10.21600957,6.865824436
9.909749323,6.708594153
9.601426304,6.550304869
9.493653662,6.494975706
9.385881019,6.439646543
9.223348091,6.356204117
9.023128848,6.253413996
8.748514519,6.112430343
8.465486341,5.971498539
8.284850467,5.90102948
8.191502931,5.864613054
8.080648866,5.82136704
7.969794802,5.778121025
7.809769522,5.715692502
7.611966196,5.638526135
7.341829322,5.533141247
6.980177972,5.392055041
6.729605059,5.29430238
6.601960988,5.244506305
6.474316918,5.19471023
6.281952791,5.123711227
6.104479949,5.075412772
5.927007106,5.027114318
5.653839583,4.952772976
5.289457826,4.853608082
5.219202972,4.834488532
4.967987666,4.76612139
4.71677236,4.697754248
4.392376325,4.609471292
4.013713969,4.506526145
3.858554691,4.465282633
3.687906673,4.419921998
3.538458625,4.380196612
3.389010578,4.340471226
3.171832353,4.28274221
2.886939922,4.207013808
2.51468629,4.108063575
2.284882882,4.046978608
2.284882882,4.046978608
2.150427466,4.011238473
1.978245893,3.965470198
1.753845453,3.905821415
1.450930804,3.815325354
1.066602566,3.699562942
0.8077116449,3.621583147
0.6266356064,3.567041751
0.2926690072,3.466448625
-0.1387545976,3.336500753
-0.3645923156,3.268476819
-0.5896256159,3.202231018
-0.8867280819,3.121370943
-1.283119739,3.013488098
-1.534407202,2.945097136
-1.785694666,2.876706174
-2.102800962,2.790401812
-2.38265878,2.714235078
-2.714930009,2.623803393
-2.873347977,2.594964417
-2.873347977,2.594964417
-2.983155313,2.580594621
-3.092962649,2.566224825
-3.256599025,2.54481076
-3.459247048,2.518291486
-3.737179524,2.481920209
-3.849995112,2.467156742
-4.262562189,2.413166681
-4.551781558,2.375318359
-4.841000928,2.337470037
-5.055623082,2.32652312
-5.265116597,2.333131456
-5.290468337,2.33393116
-5.417227037,2.337929681
-5.522185109,2.341240515
-5.665508484,2.345761557
-5.843777946,2.35138495
-6.08541911,2.359007363
-6.424545569,2.369704886
-6.679222676,2.377738508
-6.817739103,2.382107919
-6.956255531,2.386477329
-7.156778219,2.437557283
-7.311226183,2.495077195
-7.455342456,2.548749352
-7.661458934,2.625511786
-7.951319787,2.733462518
-8.053351666,2.771461495
-8.155383545,2.809460473
-8.310930614,2.867389716
-8.504504097,2.939480855
-8.771473494,3.038906291
-9.078117718,3.246971229
-9.145863322,3.302556983
-9.220429385,3.363738972
-9.294995447,3.424920962
-9.397841857,3.509307179
-9.522490267,3.611582094
-9.68707803,3.746627534
-9.910810874,3.930201938
-10.22776722,4.190266897
